Year,Winner,Score,Runner-up,Venue,Location,Attendance
1930,Uruguay,4–2,Argentina,Estadio Centenario,"Montevideo, Uruguay",68346.0
1934,Italy,2–1,Czechoslovakia,Stadio Nazionale PNF,"Rome, Italy",55000.0
1938,Italy,4–2,Hungary,Stade Olympique de Colombes,"Paris, France",45000.0
1950,Uruguay,2–1,Brazil,Maracanã Stadium,"Rio de Janeiro, Brazil",173850.0
1954,West Germany,3–2,Hungary,Wankdorf Stadium,"Bern, Switzerland",62500.0
1958,Brazil,5–2,Sweden,Råsunda Stadium,"Solna, Sweden",49737.0
1962,Brazil,3–1,Czechoslovakia,Estadio Nacional,"Santiago, Chile",68679.0
1966,England,4–2,West Germany,Wembley Stadium,"London, England",96924.0
1970,Brazil,4–1,Italy,Estadio Azteca,"Mexico City, Mexico",107412.0
1974,West Germany,2–1,Netherlands,Olympiastadion,"Munich, West Germany",78200.0
1978,Argentina,3–1,Netherlands,Estadio Monumental,"Buenos Aires, Argentina",71483.0
1982,Italy,3–1,West Germany,Santiago Bernabéu,"Madrid, Spain",90000.0
1986,Argentina,3–2,West Germany,Estadio Azteca,"Mexico City, Mexico",114600.0
1990,West Germany,1–0,Argentina,Stadio Olimpico,"Rome, Italy",73603.0
1994,Brazil,0–0 (3–2 pen.),Italy,Rose Bowl,"Pasadena, United States",94194.0
1998,France,3–0,Brazil,Stade de France,"Saint-Denis, France",80000.0
2002,Brazil,2–0,Germany,International Stadium,"Yokohama, Japan",69029.0
2006,Italy,1–1 (5–3 pen.),France,Olympiastadion,"Berlin, Germany",69000.0
2010,Spain,1–0,Netherlands,Soccer City,"Johannesburg, South Africa",84490.0
2014,Germany,1–0,Argentina,Maracanã Stadium,"Rio de Janeiro, Brazil",74738.0
2018,France,4–2,Croatia,Luzhniki Stadium,"Moscow, Russia",78011.0
2022,Argentina,3–3 (4–2 pen.),France,Lusail Stadium,"Lusail, Qatar",88966.0
